"country","Date","flu_cases","dengue_cases","life_expectancy"
Norway,"2015-06-28","28",,
Brazil,"2015-01-18","110","0.107",
Bulgaria,"2005-07-31","456",,
Paraguay,"2011-10-30","146",,
Bulgaria,"2005-09-25","551",,
New Zealand,"2003-01-26",NA,,
Japan,"2014-06-29","7",,
Germany,"2008-06-08","410",,
Japan,"2006-08-27","1",,
Bolivia,"2014-11-23","170","0.009",
Canada,"2014-06-15","953",,
Paraguay,"2007-05-13","395",,
Japan,"2009-02-01","1047",,
Peru,"2011-05-22","182",,
United States,"2007-08-19","763",,
Netherlands,"2010-08-29","19",,
Japan,"2008-04-27","11",,
New Zealand,"2012-02-26","16",,
Germany,"2009-04-19","539",,
Germany,"2008-05-11","464",,
Peru,"2004-01-18","303",,
Sweden,"2014-01-26","12",,
Poland,"2008-02-17","136",,
Paraguay,"2013-05-26","258",,
Poland,"2012-11-11","34",,
Uruguay,"2013-03-03","56",,
Ukraine,"2008-12-21","441",,
Paraguay,"2005-05-29","263",,
Australia,"2005-07-10",NA,,
United States,"2004-12-19","2206",,
Ukraine,"2003-09-14",NA,,
Paraguay,"2010-09-19","202",,
Bolivia,"2007-05-06","423","0.046",
Uruguay,"2010-01-17","53",,
Belgium,"2011-08-14","7",,
Australia,"2003-05-18",NA,,
Paraguay,"2014-11-30","208",,
Bulgaria,"2008-09-14","390",,
Bolivia,"2006-06-04","625","0.022",
Canada,"2012-04-15","1583",,
Netherlands,"2015-01-18","119",,
France,"2011-09-18","12",,
Uruguay,"2003-06-29","251",,
Japan,"2007-09-16","2",,
Switzerland,"2011-09-11","8",,
Austria,"2006-02-19","845",,
New Zealand,"2005-07-17",NA,,
Brazil,"2010-07-11","175","0.107",
Romania,"2008-02-24","900",,
Mexico,"2013-05-12","919","0.104",
Romania,"2013-10-13","695",,
Belgium,"2003-03-02",NA,,
Spain,"2007-04-22","23",,
Ukraine,"2012-12-02","460",,
South Africa,"2009-10-18","2306",,
Brazil,"2012-11-04","126","0.063",
Australia,"2005-01-23",NA,,
Chile,"2010-04-04","4",,
Argentina,"2003-08-24","192","0.019",
Austria,"2014-09-28","1064",,
Bolivia,"2015-04-26","237","0.031",
Belgium,"2012-08-12","11",,
Brazil,"2004-11-14","262","0.059",
Germany,"2015-02-22","2344",,
New Zealand,"2004-07-04",NA,,
United States,"2009-03-22","2021",,
Japan,"2011-01-16","624",,
Netherlands,"2011-03-27","21",,
Bolivia,"2012-12-30","120","0.006",
Sweden,"2007-07-29","1",,
Spain,"2015-06-07","10",,
Peru,"2006-02-12","211",,
Switzerland,"2013-08-18","25",,
South Africa,"2007-06-03","3235",,
Ukraine,"2005-11-06","596",,
Belgium,"2003-06-22",NA,,
Netherlands,"2012-11-04","36",,
Ukraine,"2013-08-18","324",,
Romania,"2006-09-03","613",,
Bulgaria,"2005-12-04","1032",,
Chile,"2013-07-21","66",,
Sweden,"2009-09-20","7",,
Austria,"2003-02-09",NA,,
Russia,"2005-12-18","415",,
